sMAPE,MASE
0.152654811587308,0.951
0.141453264098542,0.764
0.141613826708041,0.837
0.270935613085037,1.157
0.33813248076942,1.162
0.327794627900679,0.984
0.196428598386389,0.994
0.261214379780387,0.599
0.233447026179818,0.755
0.148226169437197,1.054
0.277133012785276,1.144
0.254039121442542,0.987
0.205625002997366,1.026
0.157112319317494,0.823
0.167906964126882,0.945
0.157697462259366,0.782
0.259691141490026,0.759
0.208846542191928,0.667
0.188156039747121,0.708
0.199434139952882,0.884
0.237888489220164,1.112
0.125382668540845,0.76
0.221598283031114,0.846
0.28116190383393,0.894
0.363118117575748,1.577
0.163842754502086,0.96
0.18533624810787,0.675
0.197230305723894,0.987
0.263323957164644,1.176
0.251302181429333,0.532
0.150035671349501,0.612
0.19857051455732,0.823
0.290562265309651,1
0.208326897445972,0.911
0.269827535295605,1.018
0.276062386665047,0.829
0.41628378501477,1.628
0.182597598942101,0.889
0.166570417979753,0.852
0.214322133948147,1.137
0.329618874718864,1.257
0.163479852401096,0.709
0.209883523841411,0.957
0.196944348146998,0.976
0.454909754419837,1.582
0.167073141046289,0.859
0.152654811587308,0.951
0.319066032517547,1.063
0.297695288491347,1.003
0.277133012785276,1.144
0.256111819555692,1.053
0.198106367666985,0.859
0.154846954583115,0.694
0.416008528495137,1.459
0.140899925549094,0.763
0.29176908937121,0.84
0.193953099181765,0.863
0.199006114548592,0.773
0.359197482930255,1.276
0.462086862969629,1.23
0.185032270580918,0.709
0.278072425989612,0.984
0.154571492175789,0.776
0.293410259720005,0.777
0.197066963592819,0.866
0.2620332285678,1.19
0.232797648527409,0.817
0.299847852312694,1.324
0.289590404045302,0.858
0.147938418038371,0.708
0.273045513305213,1.33
0.338192161961596,1.12
0.218565607977422,0.706
0.175126941014468,0.786
0.279638714654727,1.005
0.172677684035893,0.898
0.211715352729754,0.939
0.187687717656715,1.01
0.212567406664367,0.825
0.52828601115928,1.854
0.361612827087021,1.31
0.157044230626292,0.77
0.246516586019288,1.097
0.233975058230013,1.295
0.284237408118519,0.813
0.248008543142873,0.972
0.135666361115868,0.508
0.375121073268658,0.987
0.318667356461751,1.005
0.201925302837564,0.713
0.278348590748694,0.806
0.174768763137277,0.783
0.2261304655168,1.263
0.282585683593038,1.313
0.238707935285665,0.857
0.228593579976539,0.985
0.334505613911952,0.981
0.279821212017338,1.086
0.18366982959104,0.973
0.176559145390474,0.727
0.193929426110158,0.928
0.234337728589434,0.672
0.251674960383253,1.016
0.182085843112978,0.721
0.27235872421471,0.994
0.17483939876208,0.598
0.294971164707876,0.968
0.177393510521405,0.713
0.12468914609479,0.688
0.377921882417808,1.796
0.212567406664367,0.825
