sMAPE,MASE
0.137793611448912,0.93
0.144422073171523,0.771
0.138340274023969,0.844
0.206430727768686,0.927
0.366399206243279,1.326
0.312215154001755,0.879
0.176035056042656,0.859
0.265276856126948,0.58
0.243238179298162,0.784
0.150252947286757,1.079
0.267746993967176,1.137
0.211557858487456,0.862
0.175823108169985,0.867
0.14410322816487,0.747
0.208407861618479,1.122
0.115011745173495,0.538
0.260878449380746,0.782
0.195126231703106,0.575
0.160134443799884,0.57
0.170209098401019,0.718
0.168714443138327,0.883
0.11357697711902,0.693
0.240232502990758,0.917
0.27402622047051,0.865
0.212130046537228,0.804
0.18108519796989,1.082
0.201094328802445,0.744
0.204361070623409,1.031
0.230635127342428,0.981
0.304186016440572,0.681
0.154214417728075,0.636
0.209845621054224,0.877
0.261743816841214,0.926
0.230343463350534,1.026
0.227865803513214,0.777
0.271357835054672,0.796
0.51076171579512,1.787
0.149235579975342,0.733
0.157519483517579,0.818
0.194973777791339,1.075
0.262302727371328,0.929
0.135071451001369,0.573
0.207969987032656,0.949
0.156665263112967,0.795
0.245888688048362,0.816
0.141538240875602,0.725
0.137641644908585,0.929
0.348931336434223,1.21
0.218598701964978,0.69
0.268120300943702,1.139
0.225600107593796,0.96
0.238015673231643,0.901
0.154339873155384,0.693
0.323484098440286,1.071
0.158202433545818,0.866
0.290851991121829,0.776
0.195842676247457,0.859
0.167098026610983,0.68
0.30390258593903,1.177
0.484477412138887,1.275
0.200030750834964,0.783
0.20739148256741,0.764
0.172614075884171,0.879
0.250525807208582,0.615
0.160950718462733,0.765
0.239247105096664,1.144
0.205767192816124,0.689
0.283676474491038,1.214
0.28848761851818,0.788
0.153973134113512,0.712
0.268853509165847,1.233
0.262511475587694,0.943
0.258743406356513,0.77
0.193378448225681,0.873
0.279017907221665,0.947
0.155982369597674,0.827
0.1639673974175,0.718
0.185053578083471,1.002
0.166784636321867,0.641
0.238931597247842,0.784
0.214117295929957,0.782
0.185077681853472,0.896
0.229139984000743,1.031
0.178270169634504,0.987
0.285055369078548,0.767
0.246012373350663,0.915
0.143941220289475,0.527
0.637090856387758,1.37
0.39373288518004,1.174
0.181329353752029,0.637
0.213258279943671,0.573
0.173740822963861,0.762
0.212261776653643,1.165
0.272056448866536,1.248
0.195019068169002,0.669
0.219270780144933,0.958
0.25090747467678,0.753
0.291555810838697,1.17
0.192549759758273,1.039
0.194150476037489,0.798
0.193153046107593,0.893
0.235853369387066,0.66
0.205318918434761,0.839
0.152219793002051,0.597
0.249899302401337,0.918
0.155041807646685,0.543
0.354248652700515,1.128
0.198340509528843,0.751
0.0983175590679948,0.545
0.392285110755936,1.905
0.166744696349841,0.641
