sMAPE,MASE
0.0139328962494988,0.262
0.0110511017460826,0.315
0.0548192076847977,0.557
0.0332048404391025,0.704
0.144554037037258,6.216
0.0298744896340195,0.39
0.0201546221185661,0.319
0.0131108257245159,0.271
0.0486893171994206,0.411
0.0446441754144726,0.349
0.0108836184741328,0.188
0.0195482256622135,0.351
0.0128763346477096,0.28
0.0084413867470668,0.254
0.0352030910602647,0.43
0.0238747692119087,0.609
0.139870217682428,7.449
0.110245106192803,1.63
0.00840209735522388,0.157
0.0149002034882005,0.31
0.0240427835070948,0.258
0.0303102342056622,0.252
0.0139630663609884,0.259
0.0186627573783318,0.378
0.0811160323295939,0.836
0.0524897085559672,0.825
0.0929695982178283,0.609
0.0643868889330093,0.786
0.192679822559006,2.922
0.124524545833079,0.785
0.0438535555381351,0.471
0.0406708672202969,0.567
0.0734110658654069,0.509
0.0868488174488444,0.464
0.0520271821100877,0.645
0.0660657829601874,0.738
0.0451976412305505,0.603
0.0514433995579126,0.854
0.127511334302982,0.932
0.0811202867277726,0.958
0.162538452114885,2.553
0.120797035008439,0.959
0.0701637154150184,0.925
0.0297681827972922,0.45
0.141417199998448,0.909
0.129411463157628,0.947
0.0551052079963024,0.689
0.051928789727222,0.815
0.117730232570771,0.289
0.16366652755227,0.276
0.0315922797621369,0.225
0.0866599601137774,0.232
0.273927804004239,1.012
0.501274172280448,0.907
0.597246232018165,0.383
0.407329895412076,0.479
0.172271361148482,0.449
